timestamp,comment,source
N/A, @AlyssaSouthSide   You mean blame Jagmeat for selling out the country?,YouTube
N/A,"Actually, it is between your ears!",YouTube
N/A,"Not wrong at all, it shows that you are clueless about how our political system actually works..",YouTube
N/A,How is it wrong?,YouTube
N/A,@ I’m going by his past and things he’s done. Those are facts and not a karen. Typical liberal thinking. Thanks for the laughs little one,YouTube
N/A,"Elitist?  You mean experienced, smart, and with the connections around the world that we need?  You mean NOT a career politician?",YouTube
N/A,"Yes, some people weren't aware of how weak our system is.",YouTube
N/A,"Ya people asking for democracy and this is what canada has

They arent the same thing, rejectn",YouTube
N/A,Just know this reject would be flipping out if it were cons doing it.,YouTube
N/A,We know how it functions and it's anti democratic and broken. You know how it functions and like it?,YouTube
N/A,"Crazy thing is..many of you think your ""vote"" matters. It never has and never will. Stand up 🇨🇦 & 🌎",YouTube
N/A,@MeghenFarley  why we should become a state so that we can vote in the election that matters most.,YouTube
N/A,Or a strong argument for freeing Canada once and for all from the Crown....,YouTube
N/A,"Petit Poilievre...making funny names is easy. Grow up, take a breath maybe have a beer or 12 to calm down and there will be an election.",YouTube
N/A, @ZenCorvus  Wouldn't know. Maybe you can enlighten me?,YouTube
N/A,Finally! we got a carney to run this circus.,YouTube
N/A,Not a single Canadian flag in sight,YouTube
N/A,Not my prime minister not duly elected by the people,YouTube
N/A,"What a puppet, Says all US Canadians. Call for elections NOW!",YouTube
N/A,"What's with all the losers in the comments section who failed their high school civic class and now are whining about the parliamentary system in Canada? Also, if you don't like the constitutional monarchy, leave!",YouTube
N/A,Political Corruption,YouTube
N/A,I never voted for you. Please call an election ASAP so Canadians will finally get to democratically determine who we want leading us. Last thing I trust are money men. The US has a money man and he's desperately trying to short the market for his investments.,YouTube
N/A,"There should be a change in Canadian legislation, so that when a Prime Minister resigns, is removed or dies…  a new PM (leader) must be chosen within 6 weeks (and must already be a sitting MP) … and an election must be called within 6 weeks after selection.  Canadians did not vote for this man.  He doesn’t hold a seat in the House of Commons.  This process is not democratic.  It is an infringement of Canadian human rights.",YouTube
N/A,Not for long hopefully,YouTube
N/A,"Does everyone notice not once when he was sworn in, did they mention that he will be working for the Canadian people?",YouTube
N/A,We need a government with four years of people's mandate to fight the trade war against Trump. Please call the Election NOW.,YouTube
N/A,Noooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo! Get! Him! OUT!!! God help us all! Get Mr. Poilievre over here now! God help Canada! 🇨🇦😭😣😔,YouTube
N/A,The amount of people in the comments saying they didn't vote him in🤦🏻‍♀️...maybe you should look up how the Canadian government works. He is a temporary PM.,YouTube
N/A,Election next so Canadians can have a say in their PM.,YouTube
N/A,Unelected. What a fantastic democracy we live in! Amazing.,YouTube
N/A,Call a election,YouTube
N/A,Trudeau’s parting gift to Canadians. His mini me,YouTube
N/A,Go read the UK Telegraph's articles on Carney. The Brits are warning Canada.,YouTube
N/A,What a horrible day for canada 😢,YouTube
N/A,No Steelworkers from Hamilton present at Captain Steelworker’s coronation?,YouTube
N/A,"Don't worry, you'll be getting a new one soon 😂",YouTube
N/A,"The Canadian system is such that the head of the ruling Party is Head of Government as well as Head of State. When the head of a Party steps down for whatever reason, the Party picks the replacement as quickly as possible so that there is no break in leadership.",YouTube
N/A,"Bor that’s just how Canadian politics works, this is like the 3rd or 4th time this has happened like this",YouTube
N/A,"You'll  get your vote.
Whaaaa whaaa whaaa
🇨🇦 ✌️",YouTube
N/A,Lol indoctrinated much ? Weird,YouTube
N/A,"Yes, but PP and the Cons are worse.",YouTube
N/A, @Goodgodgetagripgirl you will get your cookie soon as carney finds time for Canadians,YouTube
N/A,"@MrDjohi  What are you assuming? I'm not a fan of the Liberals or Carney. He's a former Banker, aka he's a corporatist. Anyone that has friends in those high places is at risk of corruption. Learn to ask before you make nonsense judgments.",YouTube
N/A,"@MrDjohi  Its my day off keeping people alive at the hospital, so I watched a video that popped up on my YouTube feed, and you're mad that I commented?",YouTube
N/A,"well make sure you dont vote conservative, they are all in the same pocket",YouTube
N/A,Tell us more about failing grade 9. Where Canadian children learn about their own government...,YouTube
N/A,"We liberals voted for him, stay mad",YouTube
N/A,Not all money people are that bad some are but not all here's our options Pierre or Carney I want Pierre but if he doesn't get voted in then it's Carney people say that Pierre is for Trump but there been times when I heard him express his feelings towards that he doesn't like Trump either despite what liberals say.,YouTube
N/A, @sunyydazee  lol nah this one is more Trump level money than the conservative one. Lesser of 2 evils is the one with less money to me. And no way the leader of the Canadian version of BlackRock isn't richer.,YouTube
N/A,Thinking a party can continue without a leader...fantastic...also...registered liberals did elect him big guy...tell me you don't have any idea how Canadian politics work without telling me,YouTube
N/A,"lol, you clearly don’t know how Canadian politics work.",YouTube
N/A,Those who elected Carney represent 0.01 of the population.,YouTube
N/A, @nueloblack  - the same way every party leader has been elected.,YouTube
N/A,"@ Party leader, not PM.",YouTube
N/A,It is. Once you leave the country it will be better 🙏,YouTube
N/A,Why,YouTube
N/A,Whatever it takes to keep the Conservatives out! 👍🎉,YouTube
N/A,you people are beyond melodramatic hahaha,YouTube
N/A,You can always go south,YouTube
N/A,"This is a sad day for ALL Canadians. 

Sworn in with absolutely zero vetting by the media.",YouTube
N/A,My God help us all,YouTube
N/A,Election please !,YouTube
N/A,0:23 look at Christia Freeland on the left 😂 She must be shoveling the snow down her nose after losing.,YouTube
N/A,We did not get to vote.  😡 The Canadian public has never chosen this vilian for as much as a small riding.  This has to be a crime.  ELECTION NOW,YouTube
N/A,Praying you all have Blessed Holy Great Lent 🙏✝🕊,YouTube
N/A,"Liberals have DONE this before with Ontario Premier. When Mcguinty was charged for corruption, they replaced him with Kathleen. Where she WON the next election on 2014. Next fours years was the worst for Ontarians. It was so bad in the next election the Liberals won 7 seats only,  losing 51 seats. Liberals also lost party status. If you fall for this again it's on you, endure years of agony before next election 😂",YouTube
N/A,Elections now.,YouTube
N/A,"40 billion to 1,250 trillion in 8 years.. you are responsible. We owe 60 billion to USA...HELLO LOOK HIM UP",YouTube
N/A,The Carney Clownshow has arrived!,YouTube
N/A,he must’ve taken the oath,YouTube
N/A,What a joke for democracy,YouTube
N/A,"About Mark Carney 

He then headed to the United States for a degree in economics at Harvard University, before pursuing a master’s degree and doctorate in economics from Oxford University.
His career was similarly globe-trotting. He spent 13 years working for Goldman Sachs, traveling between the firm’s offices in London, Tokyo, New York and Toronto, according to a profile from the Bank of Canada, which he joined in 2003.
By 2008, he was serving as governor of Canada’s central bank, stepping into the job as the world plunged into the Great Recession. During his campaign to lead the Liberal Party, Carney pointed to this time as evidence of his experience navigating crises, saying on his website he had helped protect jobs and stabilize the Canadian economy.

He did well enough that by the time he finished his five-year term, he was scooped up by the Bank of England to be its governor — the first non-British person to hold the position. (Canada is a member of the British Commonwealth.)
Climate change advocate
The following years were just as crisis-ridden, with the British public voting to depart the European Union. In speeches before the 2016 referendum, Carney had warned of the economic impact Brexit would have on the country. He left the Bank of England in 2020 after almost seven years in the job.
After becoming the UN Special Envoy for Climate Action and Finance in 2019, he advocated for the financial sector to invest in net-zero emissions.",YouTube
N/A,"Imagine being a liberal apologist, educating us on why an unelected PM with No seat,  is a good thing!?!",YouTube
N/A,Ask him how Gislane Maxwell's making out. They're really good friends😂,YouTube
N/A,This is a dark day for democracy in Canada.  This man was not elected.,YouTube
N/A,Can you at least tell me which billionaires I'll be funding with my tax dollars?,YouTube
N/A,This is... SO messed up.. they can easily just install an unelected prime minister.,YouTube
N/A,Dafaq? No one voted for him to be the PM,YouTube
N/A,"In Canada, we have a parliamentary democracy—we do not elect a prime minister. Instead, we elect MPs, the party with the most MPs forms government, and the leader of that party becomes prime minister. This has happened several times in the past; by no means is this unappointed or unprecedented.",YouTube
N/A,"Like the media is credible.
You'd whine no matter who.
You'll get your vote soon enough.",YouTube
N/A,Pdf files seem to always have all the right connections!,YouTube
N/A,welcome to Canada Ivan. Where the state media does not get to decide government policy.,YouTube
N/A,Why would the media vet any prime minister? I assume that’s done by the numerous ethics laws and regulations.,YouTube
N/A,Why is it sad.,YouTube
N/A,We elect a party not a man.,YouTube
N/A,As a conservative voter it’s a great day to have some one who understands economics.  So glad to see Trudeau gone.,YouTube
N/A,This old white billionaire banker has 3 citizenships and no seat in parliament. Why can't he just choose Canada only? Why can't he love Canada only? All of us have 1 citizenship so we have skin in the game.,YouTube
N/A,MrCuriousk yet they literally did,YouTube
N/A,"@ - lol, you do know the Bank of Canada and England aren’t commercial banks right?",YouTube
N/A,I actually thought she looked happy and proud to be honest.,YouTube
N/A,BINGO ! WINNER WINNER,YouTube
N/A,Oh please don't arrest her Officer!!!!,YouTube
N/A,Now research NET ZERO,YouTube
N/A,You can't knock his education at the best universities in the world,YouTube
N/A,Stop imagining and start learning how parliamentary systems work. Don't be lazy.,YouTube
N/A,imagine not understanding how our government functions.,YouTube
N/A,It’s astounding how stupid questions like this are. These are the people likely to vote for PP 😢,YouTube
N/A,"And droning on about democracy or anyone not answering questions.

To be a lib means you're mentally insane as this point.",YouTube
N/A,Are you familiar with the Canadian political system? The sitting government party/coalition chooses who they support as PM.,YouTube
N/A,@ I am familiar.  My comment refers to the fact he is not in an elected position. He has no seat in parliament. This is extremely rare in Canadian politics (which I’m guessing you are aware of the irony of the last time this happened).,YouTube
N/A,"@ Ha! great point!  It’s concerning when someone goes from “advisor” to Prime Minister.  Yes, he did it above board, which is perhaps the most surprising aspect of it.  Given the current events, Canadians should elect who is at the helm to steer us through the stormy seas!",YouTube
N/A,@ Haha….we’ll see how well this ages.  Talk to you after the election.,YouTube
N/A,@ an elected minister. We have a Prime Minister who isn’t allowed to speak in parliament.,YouTube
N/A,not messed up. read on how we do elections in Canada. We're not the only ones who does it this way. Check other countries with the same type of democratic government - check wiki on different types of democracy... cheers.,YouTube
N/A,"Also we don't elect prime minister - each party elects a leader and the party that's represented most, their leader becomes the prime minister. Liberal Party has majority in last election, and since PM Trudeau resigned, the party elected Carney as the new leader of Liberal Party - thus, if you know your if-then-stmt, it follows that Carney is the new Prime Minister of Canada for now.",YouTube
N/A,@da_lazy.spinosaurus  none of what you just said changes the fact that I am right...?,YouTube
N/A,Who elected him?????? Come from no where.,YouTube
N/A,Never voted for you as pm carney. No one did. You don't deserve this.,YouTube
N/A,NOBODY GIVES AF!!!! We want AN ELECTION!!!!!,YouTube
N/A,"Listen, I'm team Blue, but some of you are making us look bad by your ignorance of how a Parliamentary Democracy actually works. The exact same thing would happen if say O'Toole won in the last general election and then was forced out. We'd be in the exact same situation where an internal party election is held for the new leader of the party who then becomes the Prime Minister until the next general election. Some of you didn't pay attention in Grade 10 Civics and it's embarrassingly obvious. We're not going to win the next general election with this parroting of inaccurate facts and buzz words.",YouTube
N/A,Isn't this similar to how Hitler took power? Just wondering...,YouTube
N/A,Dude looks like he was a nerd  bullied all through high school and now will get revenge once he attains power. He doesnt look sharp at all.,YouTube
N/A,"So let me get this straight, liberals voted for Trudeau with the carbon tax, now liberals will vote Carney becasue of no carbon tax...strange😅",YouTube
N/A,"Now that the UK has refused to support Canada both during Keir Starmer's visit to the White House & later in their response to Trump's tariffs, I think that Canada should shed all allegiance to the UK Royals in all aspects of our country's management. I wish & hope that Mark Carney or whoever becomes the PM in the next election has the guts to execute this.",YouTube
N/A,"not voted in by the people of Canada, now quit stalling and resume parliament so an election can be called..",YouTube
N/A,NOBODY VOTED FOR YOU.,YouTube
N/A,"Some comments do have a point. It is a bit odd there aren't any Canadian flags in sight. 

It would be ironic if what ever by-election he runs in to get a seat he loses.",YouTube
N/A,what a circus lol,YouTube
N/A,You call yourselves Canadians and do not know how our government and political system works 🤬,YouTube
N/A,Cool now call an election,YouTube
N/A,🤢🤢🤮🤮🤮 I’m voting for Pierre!   🇨🇦👍🇨🇦👍🇨🇦👍🇨🇦👍🇨🇦👍🇨🇦,YouTube
N/A,"No seat, no election. NOT MY PRIME MINISTER!!!!!",YouTube
N/A,Mr. Trudeau's reflection in the Mirror and very hard to do but may be just a bit more Greedy.,YouTube
N/A,"Illegitimate government no one voted for Carbon,Mark Carney. Better have an election day 1.",YouTube
N/A,"Why the hell do our prime ministers swear allegiance to a British King and not the people of Canada? Your priority should be your nation and your people, not some rich guy across the ocean.",YouTube
N/A,Scam,YouTube
N/A,"We didn’t vote for Poilievre as the conservative leader,",YouTube
N/A,Are you really pissed off at him because YOU don't understand how our process works?? lol!,YouTube
N/A,"Thank you, I feel the exact same as you do.",YouTube
N/A,"The Liberal's party process is not democratic. There's a legitimate process under Conservative party rules. The Liberal selection of Carney, was an appointment, not an election.",YouTube
N/A,"There should be a change in Canadian legislation, so that when a Prime Minister resigns, is removed or dies…  a new PM (leader) must be chosen within 6 weeks (and must already be a sitting MP) … and an election must be called within 6 weeks after selection.",YouTube
N/A," @HalifaxPeacock  I totally agree. Saying ""This is the way it's always been done"" is a bad motto for maintaining an element of governance. Let's hope with all the uproar this will be something that can be brought up in a future Parliamentary sitting.",YouTube
N/A,"@ He was unfortunately elected by card carrying Liberal Party members because that is the current controlling party until the next general election. But like HalifaxPeacock pointed out, maybe this is something we can work to change through legislation for the future",YouTube
N/A,"Team Not-Blue here, 100% agree with you. Just because we vote on different sides doesn't mean we cannot have a civil conversation about what interests we share, and which we disagree on. My fear is that many of these comments are not representative of the actual conservative voters of Canada. It is very difficult to see politics invaded by this sort of rhetoric.",YouTube
N/A," @KILO993  I don't jibe with the ""unfortunately"" but yes, if we want to change it put it to the people of Canada and the elected government of Canada in the Legislature. We have mechanisms in place to change procedure if the Canadian public votes on it.",YouTube
N/A,"​@ 
I agree. People should contact their local MP to ask how this process can be changed. Although it doesn't seem to happen often, but it does seem to be very jarring for those not very familiar with the process.",YouTube
N/A,"Although this is the current system, it can still be criticized. ""Not paying attention in Grade 10 Civics"" is not a reason to agree with something that doesn't make sense....people can have opinions and free thought...not everyone is an NPC :)",YouTube
N/A,@KILO993  To be fair complaining to mp's doesn't do much at the end of the day. Canadians for the most part complained about the carbon tax to mp's and we still had it imposed on us. We complained about the record level of ethics violations and nothing happened. We complained about the housing tax and capital gains tax increase and nothing happened and we complained about the crazy immigration policy yet once again nothing happened. I would not be shocked if the liberals use this tariff crap as a reason to not have elections either.,YouTube
N/A,Did you graduate from Harvard or Oxford with a PhD?,YouTube
N/A,Probably not given he is a retired UK banker who’s financial interests are largely outside of Canada,YouTube
N/A,Parliament doesn't have to be recalled for an election to be called.,YouTube
N/A,the liberal party voters did so yea lol,YouTube
N/A,"@yourmaker8786  that wasn't a vote, it was a coronation.",YouTube
N/A,It takes a carney to run a circus,YouTube
N/A,"You are right. We are now fully seeing how broken it is that a sitting member of the WEF can become our PM without ever winning an elected seat in the House of Commons (formerly known as the house of commoners, where our elected peers spoke for us on our behalf on policy). If you like this result, you are not Canadian",YouTube
N/A,"They know how it works, they just don't like the idea that a person who has never been elected to anything in their life can become Prime Minister in two months.  I think the rules need to be changed such that the PM must in all cases be a current MP.",YouTube
N/A, @thegreatdominion949  preach!!! 👍👍👍,YouTube
N/A,look up the rules,YouTube
N/A,Ok… dropped out of high school Deb…. 😂,YouTube
N/A,"An open-air, nonresistant coup from the wef.",YouTube
N/A,"Ffs people…

The Canadian system is such that the head of the ruling Party is Head of Government as well as Head of State. When the head of a Party steps down for whatever reason, the Party picks the replacement as quickly as possible so that there is no break in leadership.

Remember Kim Campbell?
Same thing.",YouTube
N/A,Crimeminister!,YouTube
N/A,Never was a MINISTER. So he cant be PRIME.  Such a farce.,YouTube
N/A,I'd rather watch YouTube ads than watch this. He is not my prime minister.,YouTube
N/A,Lots of bots in this chat 💀,YouTube
N/A,Since when did the french run the government?,YouTube
N/A,"We are Canadian people , and he's not our Prime Minister, he needs to call a snap election ASAP. We need a Prime Minister that's elected by the people not voted by the political party.",YouTube
N/A,"My wife and daughter are studying in Thunder Bay,Ontario,Canada and are nearly starving. Can someone help me find a job in Canada to rescue them so that our family of three can be reunited? I have an open work permit for Canada. I would be extremely grateful, and good-hearted people will always be rewarded.",YouTube
N/A,ELECTION !!,YouTube
N/A,"headdesk

""151,899 Registered Liberals voted in the 2025 Liberal Leadership race, out of the 163,836 that verified their identity to vote – more than the 2013 Leadership race. Mark Carney received 131,674 votes, resulting in 29,457 points on the first ballot to win the Leadership of the Liberal Party of Canada and become the next Prime Minister.""

The results are public.

Who can vote?
Registered Liberals who meet the following criteria:

You are a Canadian citizen, permanent resident, or has status under the Indian Act
You ordinarily reside in Canada (primary residence is in Canada 183 days a year)
You were a Registered Liberal by January 27, 2025 at 5:00PM EST
You comply with the registration and ID verification procedures",YouTube
N/A,Wait so anyone can become prime minister without a vote if the current leader just steps down?,YouTube
N/A,No only he was not voted in he was also selected when parliament was closed. Which shows us that this democracy that we supposedly have is a sham.,YouTube
N/A,"John A Macdonald, Charles Tupper, Kim Cambell, Mackenzie king, and John Turner were all prime minsiter who either lost their seats or became PM without a seat. Read a book instead of freaking out at a process you dont understand.",YouTube
N/A,Mark Carney and Kamala Harris have a lot in common! Mark will unelected soon.  Time for a Conservative Government!,YouTube
N/A,A bad day for Canada,YouTube
N/A,"Poilievre = Governor 
    Carny = Prime Minister 
>
You can’t convince me that if the oil industry told Poilievre or Smith, it would be more profitable if Canada became the 51st, that either of them wouldn’t sell us out.",YouTube
N/A,"I will vote for Mark Carney,  not for the Trump wannabe Pierre.  ❤️🇨🇦",YouTube
N/A,The Simple Investor - Mark Carney: The WRONG Choice for Canada,YouTube
N/A,"Not my Prime Minister! Wasn't voted in by the citizens-at-large, only by a small group of Liberal Party faithful.",YouTube
N/A,So surprised to see so many Canadians not know their own political setup,YouTube
N/A,Lol this is gross to see wef take over,YouTube
N/A,Just because it's designed that way doesn't mean it's right lol.... you have to be kidding,YouTube
N/A,Yes and she too was tossed out at the 1st election,YouTube
N/A,Thank you for explaining our systems weakness.,YouTube
N/A,"most of these are troll farms and bots. Logic does not work on paid shills. (Genuine apologies to any actual human ppl that hold these opinions, i invite you to discuss them in comments in something other than talking points.)",YouTube
N/A,It's not that we don't know it's the fact that our political system which allows this. This needs to change.,YouTube
N/A,You say that ignoring everything about the context and the optics. You think just because we have done it in the past its a good thing to keep doing???? This is gross.,YouTube
N/A," @Trevoroxx  it’s not right because we’ve done it in the past. It’s right because it is the legislation of this country. If it needs to be changed, which it likely does, then we need to change it. Until that point this is how it works. Our opinions don’t change that.",YouTube
N/A,"@stephanie5249  our opinions need to be loud so that it actually does change. Everyone is expressing their disgust to the point the zeitgeist won't tolerate this crap going forward. If the majority was like ""this is how Canada operates"" and ""it's actually good this is how it operates"" it wouldn't change. Objectively (no matter which political party you support) this is gross, hence all the outrage.",YouTube
N/A," @Trevoroxx  suggest an alternative then, that achieves the same continuity of leadership for our government. Its easy to yell ""this is wrong!"" how about some actual suggestions?",YouTube
N/A," @Trevoroxx  I am actually entirely in agreement with you that things need to change. But right now this is what we have. Legally. It’s a fact. And I agree that we can loudly express our opinions. Unfortunately, in this comment section, many people are expressing opinions as facts. And that’s not how change works. Understand the facts, express your opinion, fight for the change you want.",YouTube
N/A,@MrCuriousk  how about the crazy idea of an election? Is that too far out there of an idea that you needed a random youtube comment to tell you that's the correct way to select a leader?,YouTube
N/A,@ There was an election. You failed to be involved. All the liberal party and supporters had the option. If you were truly concerned you would have been looking into this and following for a couple months.,YouTube
N/A,"@cszabo8899  Kim Campbell was in the parliament elected by her constituants, so she actually was elected, unlikely Mr Carney never elected, never ran amd appointed in various position. Let's not forget this guy is a leader of the WEF what agenda do you think we will be following.",YouTube
N/A,"@MrTeampenner  following for a couple of months? Try decades dude. Anyone who follows politics for ""a couple of months"" is what is causing the freakout about tariffs, total ignorance.
The liberal party selecting a new leader isn't an election if that's what you are referring to not being involved in. ...",YouTube
N/A,"YouTube is eating my replies. Anyway...

Yes. Same thing with Kim Campbell. There was a general election after. She was Prime Minister going into that General election, which her party lost. Carney is now the Prime Minister by the same process, and soon will be going into a general election in all likelihood, which, hopefully for those and those like you, his party will lose. I think we both get each other now.",YouTube
N/A,"Ah, but you see, it was because too many people were watching YouTube adds that this happened in the first place 😂",YouTube
N/A,"This is something Canada's political system is going to have to face in the next few years. How do we ensure our media and social media are not swamped by foreign special interests, AI and troll farms? Free press is so much more important now than it ever was before.",YouTube
N/A,"the liberal party was elected to lead the country, not trudeau - carney won the vote to lead the party, so he's prime minister",YouTube
N/A,you have to buy all the party votes first,YouTube
N/A,"In Canada, you don't vote for the Prime Minister, you vote for the party. The Liberal Party is still in a minority government and the leader of the party is Prime Minister. There was an election - a Liberal leadership election, which Carney won handily. Therefore, he is Prime Minister.",YouTube
N/A,I mean that's how the parliamentary system works. We get to vote for a new government or the same in October.,YouTube
N/A,Yea. Do you not know how our government or Parliament works?,YouTube
N/A,"Well, with a parry vote, yeah. But it's not like the position can last long without the support of Parliament.",YouTube
N/A,"It's like if the U.S President dies or steps down. The VP finishes the term. Well we don't really have a Vice Prime Minister. When Trudeau stepped down, the Liberal party then had to vote in their new leader. (We vote for the party, not the leader).
 Now Carney will be PM until we have a federal election this fall. If he wins, he remains.",YouTube
N/A,Congratulations- brave man in challenging times,YouTube
N/A,There were 5 candidates as well as a vote with an 85.9% majority? Were you living under a rock?,YouTube
N/A, @Hyperpandas  WHO SAID THERE IS NO SUPPORT!!!  GET EDUCATED!!!,YouTube
N/A,"The Canadian system is such that the head of the ruling Party is Head of Government as well as Head of State. When the head of a Party steps down for whatever reason, the Party picks the replacement as quickly as possible so that there is no break in leadership.",YouTube
N/A,"Keep in mind only around 130k votes decided this.

Of those 130k, who is to say how many were actually Canadian votes. Anybody, anywhere in the world can pay to vote in a party election.",YouTube
N/A,"😅😂😢
What a dummy.",YouTube
N/A," @TheOneAndOnlyCiV  same thing, I didn't know an unelected leader could be put in power so easily",YouTube
N/A," @deborahkorinetz  Commons is currently prorogued, so he doesn't have the support of Parliament. Most likely scenario now is Carney will either ask the Governor General to dissolve Parliament to trigger an election, or to reconvene it at which point one of the other parties will table a confidence motion (which is almost certain to fail, and the government will end). 

Either way, Carney will only be Prime Minister for a couple of months, unless voters elect another Liberal government.",YouTube
N/A,"IF you are part of the leading party and that party votes for you, yes. Cute that you word it like some random anybody can just walk in to the building and be like ok guys it's me.",YouTube
N/A,@RantGodOfficialI voted,YouTube
N/A,John A was the first and essentially made the country. Kinda a cop out bud... and Kim Campbell was an sitting MP.. its not the same thing. And it doesn't make it right. 😂. Ridiculous,YouTube
N/A,"@user-rj1ed3gf4f  incorrect, cambell did not have a seat at the time she was selected.

And parliament existed under British commonwealth before confederation, so there were MPs, of which John A was not one.",YouTube
N/A,@TheViolentjester  Kim Campbell sat from 1988 to 1993 and was made prime minister and lead to general election in 1993 when she lost it,YouTube
N/A,"Oh wow you really proved how canadas democracy isn't a joke

Duh because these guys did it",YouTube
N/A,"a bad 9 years for Canada you mean, As a Canadian i can tell you my country has been destroyed in every facet of life you can think of.",YouTube
N/A,A bad day for canada and therefore the world. WEF is winning :(,YouTube
N/A,This is a good day for Canada.,YouTube
N/A,"100% agree. We need an adult who has had a  job in the real world knows how to balance a chequebook, is calm and experience working on the international stage. Someone who is not emotionally charged and can develop and execute a business plan.

We don't need an emotional Trump mini me PP who has never held a real job who only spews slogans. That is not helpful",YouTube
N/A,Agree never maga Pierre,YouTube
N/A,"Voting for plant, who moved his businesses to USA. Do not kid yourself.",YouTube
N/A,PP is worth 20 Million USD and Carney is worth 6.7 Million USD. What's your issue?,YouTube
N/A,@ is there net worth important?,YouTube
N/A,Trump bots working overtime in comments! 🤭,YouTube
N/A,But we the people did not vote him in.  Therefore he is not out PM or leader,YouTube
N/A,Id much rather him than current member of Trump Youth Pierre Poilievre,YouTube
N/A,Not my PM. Call an election.  Hopefully put an end to the Decade of Corruption.,YouTube
N/A,WEF installed,YouTube
N/A,"All these people saying he's ""unelected"" are Americans, I bet. Canada elects parties, whose leaders become the PM.",YouTube
N/A,Who actually elected him in Canada?🧐,YouTube
N/A,The Canadian people didn’t agree to this. We need an election!,YouTube
N/A,Wait what!! ? When was the election? Am I the only one who missed the election? I didn’t vote.,YouTube
N/A,I feel like I’m living inside of a Simpsons episode. This has to be a joke.,YouTube
N/A,I did not vote him in....this is not an election.,YouTube
N/A,Enough with this liberals! Time for election,YouTube
N/A,Imagine if he enacted emergency laws and stayed in power😅😅,YouTube
N/A,Can we please have an election now?,YouTube
N/A,"Resign like Trudeau,  Carney!!",YouTube
N/A,"Does not matter who leads the liberals, we are done with liberal policies. Call an election.",YouTube
N/A,"The bots are strong with this one. Sigh. Poilievre could not deal with this level of economic instability, let alone Trump. God forbid Carney is the Prime Minister Designate. He is an excellent choice. I have absolutely no problem with him holding the seat. The people that scream ""not my prime minister"", are probably the same people that thought the trucker convoy protest in Ottawa was peaceful. We have been through so many unprecedented situations in the last five years. This is not a time to shout ""MY FREEDOMS. CALL AN ELECTION"". Just let Carney do his job. Let's get through the worst of this, get things stabilized, and then call an election. This is a time to band together as Canadians. God forbid, all parties work together. Ugh.",YouTube
N/A,Carney is not my Prime Minister. Pierre is my Prime Minister and Trump is my President.,YouTube
N/A,NOBODY ELECTED HIM,YouTube
N/A,Elections now. !!!,YouTube
N/A,"No, it's Canadians who don't want a pathological lying rich guy who is not a politician LIKE TRUMP.",YouTube
N/A,Duh trump bots because everyone's a lib in this toolboxes world,YouTube
N/A,You and who else? Who are the people?,YouTube
N/A,Ok cnn/cbc talking point of zero substance,YouTube
N/A,"The Canadian system is such that the head of the ruling Party is Head of Government as well as Head of State. When the head of a Party steps down for whatever reason, the Party picks the replacement as quickly as possible so that there is no break in leadership.",YouTube
N/A,The liberal party. He's a stand in until a new election is set forward.,YouTube
N/A, @flexchan  I am sure they won't rush it,YouTube
N/A,Bless your little heart.. you need an education in the CANADIAN POLITICAL SYSTEM.,YouTube
N/A,Correct.. lol Not sure what you don't understand.,YouTube
N/A,Not effing funny. U don't get who truly pulls the strings hey? Buckle up,YouTube
N/A,For what?,YouTube
N/A,You are a bot.  We support Pierre!,YouTube
N/A,"Omg duh the bots blah blah blah cbc told me pierre is terribl
But cbc won't report on carney so this is what you write

Seek help",YouTube
N/A,"The most mature and adult comment in this section. 
I would add that patience is a virtue. We just need to wait for the general election to be called. Many sources indicate this will most likely happen at the end of the month. 
I can tell you from myself and other Conservative friends, even we agree that this one time we will have to vote for the person and not the party and find common ground to weather the storm ahead.",YouTube
N/A,Nobody elected PP to be leader of the opposition until the next election came around.  Really - it's how things work.  Look it up.,YouTube
N/A,i did,YouTube
N/A,Duh Trudeau resigned and they needed to appoint a new leader. Don’t understand the point of this comment,YouTube
N/A,@ no ya didn’t unless you’re part of the liberal party. Which I’m pretty sure you aren’t.,YouTube
N/A,"But he shouldn't be able to lead the country without being elected by the people. It is true that the liberals were elected, but I just think it's shady that this man was elected. It's not like u or me had a say in it",YouTube
N/A, @PlutoniumMC  in canada when you elect someone your not electing that person. Your essentially electing the party. And if pm stepps down. Their is a election that anyone cab register to vote,YouTube
N/A," @rigarious  I know how it works.... I'm canadian, but I still disagree with the way that this situation has unfolded.",YouTube
N/A,@PlutoniumMC  u could of voted then,YouTube
N/A, @rigarious  ???,YouTube
N/A, @rigarious  I can't vote for the liberal leader. I'm not a member of the party,YouTube
N/A,A great day for Canada 🍁🇨🇦🍁,YouTube
N/A,He talks about serving the king.. and the king is no where in the  room....,YouTube
N/A,He needs to call an election today I didn’t vote for him,YouTube
N/A,Clown show baby! Far cry from the Country we used to be.,YouTube
N/A,Not a single Canadian flag in sight. That tell us everything we need to know. Meanwhile Pierre is about to go live with 20 Canadian flags behind him.,YouTube
N/A,"Congratulations to the new PM, Mark Carney..",YouTube
N/A,Canada dident vote for this guy,YouTube
N/A,He better not get too comfortable..,YouTube
N/A,Let the election decide who the Prime Minister.  Prime Minister by default. Let the vote speak,YouTube
N/A,Not my prime minister,YouTube
